"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"87055352BF","90733000-4","SERVIZI CONNESSI ALL'INQUINAMENTO DELL'ACQUA","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI MONITORAGGIO DELLA LEGIONELLA SU CAMPIONI AMBIENTALI"
"8668840911","66600000-6","SERVIZI DI TESORERIA","AFFIDAMENTO DEL SERVIZIO DI TESORERIA E CASSA DELL'ASL FG"
"8699247DB6","71335000-5","STUDI DI INGEGNERIA","INTERVENTO DI ADEGUAMENTO SISMICO, ADEGUAMENTO ALLA NORMA VIGENTE IN MATERIA DI EDILIZIA SCOLASTICA, EFFICIENTAMENTO ENERGETICO DELLA SCUOLA MEDIA 'DANTE ALIGHIERI' - AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA"
"8680917753","33180000-5","SOSTEGNO FUNZIONALE","LOTTO 7: LIQUIDO EMBOLIZZANTE PER USO INTRACRANICO"
"8689950598","34351100-3","PNEUMATICI PER AUTOVEICOLI","FORNITURA DI PNEUMATICI ESTIVI PER I MEZZI DI PROPRIETÀ ALLA SANITASERVICE ASL FG S.R.L."
"8693351C2E","39150000-8","ARREDI ED ATTREZZATURE VARIE","FORNITURA E POSA IN OPERA DI TENDE PER GLI UFFICI DEL CONSIGLIO REGIONALE DELLA PUGLIA"
"86484617C9","66600000-6","SERVIZI DI TESORERIA","AFFIDAMENTO DEL SERVIZIO DI TESORERIA COMUNALE ANNO 2021"
"8683738F47","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO PER GLI UFFICI DELLA PROVINCIA DI LECCE"
"868374878A","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO PER GLI UFFICI DELLA PROVINCIA DI TARANTO E BRINDISI"
"870414038E","45262522-6","LAVORI EDILI","MANUTENZIONE BIENNALE DELLE SCUOLE E DEGLI IMMOBILI COMUNALI - ANNI 2020 -2022"
"8671807983","60442000-8","SERVIZI AEREI DI LOTTA ANTINCENDIO","SERVIZIO DI LAVORO AEREO PER LA PREVENZIONE ED ESTINZIONE DEGLI INCENDI BOSCHIVI E TRASPORTO DI PERSONE PER ALTRI INTERVENTI DI PROTEZIONE CIVILE PER IL PERIODO 2021-2023"
"8696376C7D","38527200-7","DOSIMETRI","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DEL SERVIZIO DI DOSIMETRIA PER GLI AMBIENTI E PER I DIPENDENTI RADIOESPOSTI DELLA ASL BA"
"8698524914","33141200-2","CATETERI","AFFIDAMENTO FORNITURA IN REGIME DI SOMMINISTRAZIONE DI SOLUZIONE LOCK PER CATETERI"
"8686485A2E","33970000-0","ATTREZZATURE E FORNITURE PER OBITORI","FORNITURA IN OPERA DI N.8 CELLE FRIGORIFERE DA INSTALLARSI PRESSO OBITORIO DEL PO SEVERO "
"86680751C7","45262321-7","LAVORI DI PAVIMENTAZIONE","RIQUALIFICAZIONE E VALORIZZAZIONE DEL NUCLEO ANTICO"
"870014204E","33172000-6","APPARECCHI PER ANESTESIA E RIANIMAZIONE","FORNITURA DI CARTUCCE PER RIMOZIONE DI  ENDOTOSSINE NELLO SHOCK SETTICO"
"8683669659","50730000-1","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO AMBITO BARI 2"
"86836739A5","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO AMBITO BARI 3 CPI"
"8696089FA5","79340000-9","SERVIZI PUBBLICITARI E DI MARKETING","SERVIZI DI COMUNICAZIONE ISTITUZIONALE (COMUNICAZIONE, MARKETING STRATEGICO, GRAPHIC DESIGN E WEB MARKETING) DI AMIU S.P.A."
"8683738F47","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO PER GLI UFFICI DELLA PROVINCIA DI LECCE"
"868374878A","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO PER GLI UFFICI DELLA PROVINCIA DI TARANTO E BRINDISI"
"870414038E","45262522-6","LAVORI EDILI","MANUTENZIONE BIENNALE DELLE SCUOLE E DEGLI IMMOBILI COMUNALI - ANNI 2020 -2022"
"8671807983","60442000-8","SERVIZI AEREI DI LOTTA ANTINCENDIO","SERVIZIO DI LAVORO AEREO PER LA PREVENZIONE ED ESTINZIONE DEGLI INCENDI BOSCHIVI E TRASPORTO DI PERSONE PER ALTRI INTERVENTI DI PROTEZIONE CIVILE PER IL PERIODO 2021-2023"
"8696376C7D","38527200-7","DOSIMETRI","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DEL SERVIZIO DI DOSIMETRIA PER GLI AMBIENTI E PER I DIPENDENTI RADIOESPOSTI DELLA ASL BA"
"8698524914","33141200-2","CATETERI","AFFIDAMENTO FORNITURA IN REGIME DI SOMMINISTRAZIONE DI SOLUZIONE LOCK PER CATETERI"
"8686485A2E","33970000-0","ATTREZZATURE E FORNITURE PER OBITORI","FORNITURA IN OPERA DI N.8 CELLE FRIGORIFERE DA INSTALLARSI PRESSO OBITORIO DEL PO SEVERO "
"86680751C7","45262321-7","LAVORI DI PAVIMENTAZIONE","RIQUALIFICAZIONE E VALORIZZAZIONE DEL NUCLEO ANTICO"
"870014204E","33172000-6","APPARECCHI PER ANESTESIA E RIANIMAZIONE","FORNITURA DI CARTUCCE PER RIMOZIONE DI  ENDOTOSSINE NELLO SHOCK SETTICO"
"8683669659","50730000-1","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO AMBITO BARI 2"
"86836739A5","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO AMBITO BARI 3 CPI"
"8696089FA5","79340000-9","SERVIZI PUBBLICITARI E DI MARKETING","SERVIZI DI COMUNICAZIONE ISTITUZIONALE (COMUNICAZIONE, MARKETING STRATEGICO, GRAPHIC DESIGN E WEB MARKETING) DI AMIU S.P.A."
"8686448BA5","33750000-2","PRODOTTI PER LA CURA DEI NEONATI","PROCEDURA  NEGOZIATA TELEMATICA (PIATTAFORMA EMPULIA), EX ART.1 COMMA 2 LETTERA B) DELLA L. N.120 DELL'11/09/2020, PER L'APPALTO DELLA FORNITURA DI  PRODOTTI PER L'IGIENE E LA PULIZIA DEL NEONATO PER IL POLICLINICO"
"8704735E8D","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","AFFIDAMENTO FORNITURA PER MESI DODICI DI DISPOSITIVI MEDICI MONOUSO PER GENERATORI AD ULTRASUONI HARMONIC GEN 11"
"8704580EA4","45259900-6","POTENZIAMENTO DI IMPIANTI","LAVORI DI IMPLEMENTAZIONE DEL GRUPPO DI CONTINUITÀ (UPS) AL NUOVO PLESSO D.E.U"
"8688101FBD","45453000-7","LAVORI DI RIPARAZIONE E RIPRISTINO","LAVORI DI MESSA IN SICUREZZA ED ADEGUAMENTO DEGLI AMBIENTI ADIBITI AD OBITORIO DELLE STRUTTURE OSPEDALIERE DI MOLFETTA E TERLIZZI"
"868814975C","45453000-7","LAVORI DI RIPARAZIONE E RIPRISTINO","LAVORI DI RISANAMENTO DEGLI AMBIENTI POSTI AL 4PIANO DELL'ALA NUOVA DEL PTA UMBERTO I DI ALTAMURA"
"8676415429","79131000-1","SERVIZI DI DOCUMENTAZIONE","SERVIZIO DI ASSISTENZA TECNICA RELATIVA ALLA ATTIVITÀ DI ANALISI DEI DATI RELATIVE AGLI AIUTI REGIONALI A FAVORE DELLE IMPRESE NELLA PROGRAMMAZIONE 2014/2020 E GESTIONE DELLE RELATIVE BANCHE DATI"
"867779789E","33196000-0","AUSILI MEDICI","PROCEDURA NEGOZIATA SENZA BANDO EX ART. 1 CO. 2, LETT. B) DELLA LEGGE N. 120/2020 SULLA PIATTAFORMA TELEMATICA EMPULIA, PER L'AFFIDAMENTO DELLA FORNITURA DI AUSILI PER INCONTINENZA PER LE STRUTTURE ISPE "
"8645008648","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","SERVIZIO DI SELEZIONE E VALORIZZAZIONE DEI MATERIALI IN CONVENZIONE CONAI PROVENIENTI DA RACCOLTA DIFFERENZIATA.- PERIODO GIUGNO 2021/SETTEMBRE 2022"
"8688745333","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","DELIBERA A CONTRARRE PER L"
"8697197203","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","FORNITURA DI UN DERMATOMO CON FORNITURA TRIENNALE DI MATERIALE DI CONSUMO DEDICATO."
"867160312D","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","INTERVENTI DI MANUTENZIONE STRAORDINARIA DELLA SEDE DI PROTEZIONE CIVILE IN MONTALBANO"
"862608240E","34121100-2","AUTOBUS PUBBLICI","FORNITURA DI 1 AUTOBUS PER SERVIZIO TRASPORTO URBANO CATEGORIA NORMALE"
"8704304AE2","19270000-9","TESSUTI NON TESSUTI","COVID 19 - TUTE PROTETTIVE INTEGRALI"
"8193990674","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","POR PUGLIA 2014-2020 - ASSE PRIORITARIOIV. ENERGIA SOSTENIBILE E QUALITÀ DELLA VITA. AZIONE 4.1.2.  INTERVENTI DI MIGLIORAMENTO DELLA SOSTENIBILITÀ AMBIENTALE E DELLE PRESTAZIONI ENERGETICHE DELLA RESIDENZA DELL"
"8552278B0F","66510000-8","SERVIZI ASSICURATIVI","LOTTO I - RCT/O"
"8680404FF9","34110000-1","AUTOVETTURE PER TRASPORTO PASSEGGERI","FORNITURA N.1 BERLINA"
"86160995D2","45223300-9","LAVORI DI COSTRUZIONE DI PARCHEGGI","LAVORI PER LA REALIZZAZIONE DI UN PARCHEGGIO ADIACENTE L'UNIVERSITÀ DI MEDICINA IN VIA NAPOLI PRESSO IL POLICLINICO DI FOGGIA"
"8704304AE2","19270000-9","TESSUTI NON TESSUTI","COVID 19 - TUTE PROTETTIVE INTEGRALI"
"8629787584","79419000-4","SERVIZI DI CONSULENZA DI VALUTAZIONE","FORNITURA DEL SERVIZIO PER LA 'VALUTAZIONE DELL'EFFICACIA DI FARMACI ANTITUMORALI SU MODELLI MURINI'"
"8619812DE0","45240000-1","LAVORI DI COSTRUZIONE PER OPERE IDRAULICHE","AFFIDAMENTO DELLA PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI DI ADEGUAMENTO ANTINCENDIO ED AMPLIAMENTO DELLA CENTRALE TERMICA A SERVIZIO DEI PLESSI MATERNITÀ E PEDIATRICO, DELLE RISPETTIVE SOTTOCENTRALI E DEGLI IMPIANTI DI DISTRIBUZIONE"
"85997008EF","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","LAVORI DI RECUPERO DI IMMOBILI SEQUESTRATI ALLA MAFIA DA DESTINARE A CO-HOUSING SOCIALE INTERVENTO DA REALIZZARSI NELL'AMBITO DELLA RIGENERAZIONE URBANA DI CUI ALLA STRATEGIA INTEGRATA DI SVILUPPO URBANO SOSTENIBILE FINANZIATA DALLA REGIONE PUGLIA CON L'ASSE PRIORITARIO XII - 'SVILUPPO URBANO SOSTENIBILE - SUS' "
"856646568C","90712400-5","SERVIZI DI PIANIFICAZIONE STRATEGICA PER LA GESTIONE O CONSERVAZIONE DELLE RISORSE NATURALI","PROGRAMMA DI COOPERAZIONE EUROPEA INTERREG V-A GRECIA - ITALIA 2014/2020 - PROGETTO BEST. PROCEDURA EX ART. 1 DEL D.L. N. 76 DEL 16/07/2020 CONVERTITO IN LEGGE N. 120 DEL 11/09/2020 ED EX ART. 95,  COMMA 3 DEL D.LGS. 50/2016 PER L'AFFIDAMENTO DEL SERVIZIO DI 'ANALISI DELL'AGROBIODIVERSITÀ E STUDIO DELLE SPECIE VEGETALI COLTIVATE A RISCHIO DI ESTINZIONE NELL'AREA DELL'AZIONE PILOTA 1 DEL PROGETTO BEST E RELATIVO PIANO DI AZIONE'"
"86880673B2","24111800-3","AZOTO LIQUIDO","FORNITURA IN SERVICE DI N.1 SERBATOIO PER AZOTO LIQUIDO DA 60 LITRI E RELATIVO MATERIALE DI CONSUMO DAL DESTINARE AL LABORATORIO DELLA S.C. DI EMATOLOGIA DEL P.O. 'S.G. MOSCATI' DI STATTE TARANTO "
"8699848DAC","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE PER I LAVORI DI RISTRUTTURAZIONE ED ADEGUAMENTO ALLE NORME DELL'IMMOBILE DI VIA SASSARI - BARI - SEDE TERRITORIALE DEL CSM DELLA ASL BARI"
"8665895AC6","71356400-2","SERVIZI DI PIANIFICAZIONE TECNICA","REDAZIONE PIANO ELIMINAZIONE BARRIERE ARCHITETTONICHE"
"8695936167","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA N.23 BARELLE AD ALTEZZA VARIABILE - UU.OO. VARIE"
"8639738956","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","SERVIZIO DI ADEGUAMENTO DEL PROGETTO DEFINITIVO, DIREZIONE LAVORI E COORD. DELLA SICUREZZA RELATIVI ALL'INTERVENTO DI RIUTILIZZO AI FINI IRRIGUI DELLE ACQUE REFLUE AFFINATE LICENZIATE DAL DEPURATORE A SERVIZIO DELL'ABITATO - AMPLIAMENTO DELLA RETE"
"8685906C5F","33184400-7","PROTESI MAMMARIE","FORNITURA DI ' MATRICE DERMICA PRESAGOMATA PER RICOSTRUZIONE MAMMARIA PREPETTORALE'  PER LE NECESSITÀ DELLA ASL TARANTO "
"8560252F68","45236250-7","LAVORI DI SUPERFICIE PER PARCHI","PROGRAMMA INNOVATIVO E SPERIMENTALE IN AMBITO URBANO DENOMINATO "
"8648946805","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA IN SERVICE DI SISTEMI DI TRAPANI PER PICCOLI SEGMENTI OSSEI E SISTEMI TRAPANI PER CHIRURGIA PROTESICA E GRANDI SEGMENTI OSSEI COMPRENSIVO DELLA FORNITURA DEL RELATIVO MATERIALE DI CONSUMO DA DESTINARE ALLE STRUTTURE DI ORTOPEDIA E TRAUMATOLOGIA DELL'ASL TARANTO PER LA DURATA DI 60 MESI"
"8632123D3C","98351000-8","SERVIZI DI GESTIONE DI PARCHEGGI","AFFIDAMENTO IN CONCESSIONE A TERZI, PER ANNI UNO, PROROGABILE PER ULTERIORI SEI MESI E COMUNQUE NON OLTRE IL 31/12/2022, DEI SERVIZI DI GESTIONE DELLE AREE DI SOSTA VEICOLARE A PAGAMENTO"
"86845984FC","71251000-2","SERVIZI ARCHITETTONICI E DI MISURAZIONE","AFFIDAMENTO DEI SERVIZI TECNICI PER LA DIREZIONE E IL COORDINAMENTO DELLA SICUREZZA DEI LAVORI DI "
"86668173A4","45310000-3","LAVORI DI INSTALLAZIONE DI CABLAGGI","LAVORI DI ADEGUAMENTO, AMPLIAMENTO E MIGLIORAMENTO FUNZIONALE DELLA CABINA DI TRASFORMAZIONE MT/BT DEL PRESIDIO OSPEDALIERO 'GIUSEPPE TATARELLA' DI CERIGNOLA "
"84913568A3","33172100-7","APPARECCHI PER ANESTESIA","FORNITURA DI CARTUCCE PER RIMOZIONE ENDOTOSSINE"
"86867157FC","33169000-2","STRUMENTI CHIRURGICI","SISTEMA DI TERMOABLAZIONE PERCUTANEA PER NODULI TIROIDEI ECO GUIDATA LASER"
"8659116094","33124110-9","SISTEMI DIAGNOSTICI","FORNITURA IN SERVICE DI UN SISTEMA AUTOMATIZZATO PER LA DETERMINAZIONE DEL GENOTIPO HCV"
"8673657031","33141200-2","CATETERI","FORNITURA DI SOLUZIONE LOCK PER CATETERI"
"867604854D","90513200-8","SERVIZI DI SMALTIMENTO DEI RIFIUTI SOLIDI URBANI","AFFIDAMENTO DEL SERVIZIO DI RECUPERO E/O SMALTIMENTO DI MATERIALI DIFFERENZIATI RACCOLTI PRESSO IL CENTRO COMUNALE RACCOLTA DI FASANO"
"869003079C","90510000-5","TRATTAMENTO E SMALTIMENTO DEI RIFIUTI","SERVIZIO DI PRELIEVO, TRASPORTO E SMALTIMENTO DEL PERCOLATO PRODOTTO PRESSO IL V LOTTO DELLA DISCARICA IN LOCALITÀ FORCONE DI CAFIERO - CERIGNOLA (FG)"
"864832578E","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA PER L"
"8583333676","45453100-8","LAVORI DI RIPARAZIONE","INTERVENTO INTEGRATO DI RIQUALIFICAZIONE DELL'IMPIANTO SPORTIVO POLIFUNZIONALE E DELL'AREA SPORTIVA ATTREZZATA ANNESSA INTERNI AL PARCO DI VIA C. LEVI."
"8665834870","33183000-6","AUSILI ORTOPEDICI","N^ 679 DEAMBULATORI A SEDILE CON QUATTRO RUOTE PIROETTANTI CODICE 12.06.09.003 DPCM 12 GENNAIO 2017"
"8669756CF8","33631600-8","ANTISETTICI E DISINFETTANTI","FORNITURA PRODOTTO DISINFETTANTE A BASE DI PEROSSIDO DI IDROGENO"
"8679715767","34928472-7","PALI SEGNALETICI","SERVIZIO PER LA FORNITURA E POSA IN OPERA DI PANNELLI DIREZIONALI DI DIVERSE TIPOLOGIE DA UTILIZZARE NELLE STRUTTURE SANITARIE DELL'AZIENDA OSPEDALIERO UNIVERSITARIA POLICLINICO RIUNITI DI FOGGIA"
"8671463DA1","50720000-8","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI","SERVIZI DI MANUTENZIONE IMPIANTI CLIMA E IDRICO SANITARIO AMBITO BARI 1 VIA GENTILE"
"8663322F76","45421130-4","INSTALLAZIONE DI PORTE E FINESTRE","SOSTITUZIONE PORTE REI PRESSO IL PO CAMBERLINGO DI FRANCAVILLA FONTANA"
"867779789E","33196000-0","AUSILI MEDICI","PROCEDURA NEGOZIATA SENZA BANDO EX ART. 1 CO. 2, LETT. B) DELLA LEGGE N. 120/2020 SULLA PIATTAFORMA TELEMATICA EMPULIA, PER L'AFFIDAMENTO DELLA FORNITURA DI AUSILI PER INCONTINENZA PER LE STRUTTURE ISPE "
"8668610B43","30192000-1","MATERIALE PER UFFICIO","FORNITURA CANCELLERIA PER LE ESIGENZE DEGLI UFFICI REGIONALI"
"8668610B43","30192000-1","MATERIALE PER UFFICIO","FORNITURA CANCELLERIA PER LE ESIGENZE DEGLI UFFICI REGIONALI"
"8620528CBD","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA APERTA TELEMATICA PER LA FORNITURA A NOLEGGIO DI UN SISTEMA ANALITICO PER LA GESTIONE AUTOMATIZZATA DEI CAMPIONI RELATIVI ALL'ESAME EMOCROMOCITOMETRICO ED ALLA VALUTAZIONE DEI FLUIDI BIOLOGICI"
"8599716624","71312000-8","SERVIZI DI CONSULENZA IN INGEGNERIA STRUTTURALE","VERIFICA DI VULNERABILITÀ SISMICA EX ART. 2, COMMA 3, O.P.C.M. 20/03/2003 N. 3274 EDIFICIO SCOLASTICO 'A. DE RENZIO' IN VIA E. BERLINGUER"
"860119282C","71312000-8","SERVIZI DI CONSULENZA IN INGEGNERIA STRUTTURALE","VERIFICA DI VULNERABILITÀ SISMICA EX ART. 2, COMMA 3, O.P.C.M.20/03/2003 N. 3274 'PALAZZO GENTILE' SEDE DEL MUNICIPIO"
"86012296B5","71312000-8","SERVIZI DI CONSULENZA IN INGEGNERIA STRUTTURALE","VERIFICA DI VULNERABILITÀ SISMICA EX ART. 2, COMMA 3, O.P.C.M.20/03/2003 N. 3274 EDIFICIO SCOLASTICO 'G. CAIATI' - EDIFICIO SCOLASTICO 'PAPA GIOVANNI XXIII'"
"8545967311","45212290-5","RIPARAZIONE E MANUTENZIONE DI IMPIANTI SPORTIVI","AFFIDAMENTO DEI LAVORI DI RIQUALIFICAZIONE DELL'IMPIANTO SPORTIVO MARTUCCI SITO NEL COMUNE DI GIOIA DEL COLLE"
"8674670424","79340000-9","SERVIZI PUBBLICITARI E DI MARKETING","SERVIZIO DI COMUNICAZIONE"
"8629123192","79620000-6","SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO","ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI, DEL SERVIZIO DI 'SOMMINISTRAZIONE LAVORO TEMPORANEO' PER LE FIGURE PROFESSIONALI DA IMPIEGARE PER LE NECESSITÀ DI CARATTERE TEMPORANEO DELLA STAZIONE APPALTANTE"
"8629292D05","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","'DISIMPERMEABILIZZAZIONE SPAZI PUBBLICI E CREAZIONE AREE VERDI' DA REALIZZARE NELL'AMBITO DELLA RIGENERAZIONE URBANA DI CUI ALLA STRATEGIA INTEGRATA DI SVILUPPO URBANO SOSTENIBILE FINANZIATA DALLA REGIONE PUGLIA CON L'ASSE PRIORITARIO XII - SVILUPPO URBANO SOSTENIBILE - SUS DEL P.O. FERS -FSE 2014-2020"
"8652969FE5","71240000-2","SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE","AFFIDAMENTO SERVIZI TECNICI DI ARCHITETTURA E INGEGNERIA PER L'INTERVENTO 'REALIZZAZIONE CICLOVIA PAESAGGISTICA GIOIA DEL COLLE-MATERA'"
"8630009CB5","45222110-3","LAVORI DI COSTRUZIONE DI DISCARICHE PER RIFIUTI","LAVORI DI MESSA IN SICUREZZA DI EMERGENZA DELLA DISCARICA IN LOCALITÀ SAN PIETRO PAGO, NEL COMUNE DI GIOVINAZZO (BA)"
"8655423902","45454100-5","LAVORI DI RESTAURO","PROGETTO HERMES - VALORIZZAZIONE SITI DI VALENZA CULTURALE E PAESAGGISTICA (LAMA D'ANTICO, SAN GIOVANNI E S. LORENZO) ATTRAVERSO LA MANUTENZIONE E IMPLEMENTAZIONE DI SERVIZI "
"867036645E","71315400-3","SERVIZI DI COLLAUDO E VERIFICA DI EDIFICI","COLLAUDO DEI LAVORI DI RICONVERSIONE DELL OSPEDALE DI SAN PIETRO V.CO IN PTA"
"8644505731","66510000-8","SERVIZI ASSICURATIVI","'POLIZZA INFORTUNI CATEGORIE DIVERSE' DELLA ASL DI BARI."
"8666979952","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA E POSA IN OPERA DI UN SISTEMA INTEGRATO DI IMAGING COMPOSTODA C-ARM 3D MOTORIZZATO E UN SISTEMA DI NAVIGAZIONE DEDICATO +MATERIALE DI CONSUMO DEDICATO, IN REGIONE DI SOMMINISTRAZIONE TRIENNALE, DA DESTINARSI ALLA U.O.S.D. DI CHIRURGIA VERTEBRALE."
"8655388C1F","60172000-4","NOLEGGIO DI AUTOBUS E PULLMAN CON AUTISTA","PROCEDURA DI GARA NEGOZIATA PER L'AFFIDAMENTO DEL SERVIZIO TRASPORTO STUDENTI UNIVERSITARI FUORI SEDE CHE ALLOGGIANO PRESSO LA RESIDENZA  'CASA PASTOR BONUS', NELLA CITTÀ DI LECCE"
"867265554F","98341140-8","SERVIZI DI VIGILANZA DI EDIFICI","AFFIDAMENTO DEL SERVIZIO DI VIGILANZA E SERVIZI FIDUCIARI (PORTIERATO)"
"8642613DDB","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZIO DI MANUTENZIONE QUINQUENNALE, CON INTERVENTI DI RIQUALIFICAZIONE DELL'IMPIANTO DELLA BANCA DI CRIOCONSERVAZIONE A SERVIZIO DELL'U.O. PMA PRESSO IL P.O. MATERNITÀ"
"86585372C5","39143110-0","LETTI, EFFETTI LETTERECCI E TESSUTI SPECIALI PER ARREDAMENTO","PROCEDURA NEGOZIALE TELEMATICA, DA ESPLETARSI, AI SENSI DELL'ART.36 COMMA 2 LETT. B) DEL D.LGS. N.50/2016 DA AGGIUDICARE CON I CRITERI DELL'ART.95 C.2 DELLO STESSO DECRETO (OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA) MEDIANTE L'UTILIZZO ESCLUSIVO DEL PORTALE WWW.EMPULIA.IT NELLA MODALITÀ 'AVVISI' PER LA FORNITURA, INSTALLAZIONE ED ASSISTENZA TECNICA TRIENNALE POST GARANZIA DI 42 LETTI BILANCIA SPECIFICI PER EMODIALISI ED OCCORRENTI ALL'U.O.C. DI NEFROLOGIA E DIALISI DEL P.O. PERRINO DI BRINDISI ED AL C.A.D. DI FASANO PER UNA SPESA COMPLESSIVA PRESUNTA DI ?.150.000,00 + I.V.A. "
"8614227CFD","51210000-7","SERVIZI DI INSTALLAZIONE DI ATTREZZATURE DI MISURAZIONE","MANUTENZIONE, AGGIORNAMENTO E POTENZIAMENTO DELLA RETE DI MONITORAGGIO IN TEMPO REALE PER IL RILEVAMENTO DI DATI METEO-PLUVIO-IDROMETRICI DEL CENTRO FUNZIONALE DECENTRATO REGIONALE"
"8589988A56","79220000-2","SERVIZI FISCALI","AFFIDAMENTO DEL SERVIZIO DI OTTIMIZZAZIONE FISCALE"
"8657987CE2","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI ADEGUAMENTO DEGENZE PER PAZIENTI IN REGIME CARCERARIO AL PIANO PRIMO DEL P.O. DI BARLETTA."
"8622547EDE","71248000-8","SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE","SERVIZI TECNICI DI ARCHITETTURA E DI INGEGNERIA PER LA VERIFICA, AI FINI DELLA VALIDAZIONE, DEL PROGETTO DEFINITIVO ED ESECUTIVO AI SENSI ART. 26 DEL D.LGS. N.50/2016 RELATIVA ALLA REALIZZAZIONE DEL NUOVO OSPEDALE DI ANDRIA."
"863663155D","72262000-9","SERVIZI DI SVILUPPO DI SOFTWARE","SERVIZI DI EVOLUZIONE TECNOLOGICA E CONSOLIDAMENTO FUNZIONALE, NONCHÉ SERVIZI DI ASSISTENZA ALL'UTENZA DELLA PIATTAFORMA TELEMATICA EMPULIA"
"866558287B","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","LAVORI DI MANUTENZIONE EDILE ED IMPIANTISTICA PER LA RIQUALIFICAZIONE DEI LOCALI ADIBITI ALL'OBITORIO DEL PO SAN PAOLO"
